Date / Time,Seconds taken,Kbps,Download size (bytes)
2016-03-18 05:44:32.700000,1.227,19497.0,3062059
2016-03-18 05:49:33.667000,1.233,19402.0,3062059
2016-03-18 05:54:34.738000,1.233,19402.0,3062059
2016-03-18 05:59:35.706000,1.238,19323.0,3062059
2016-03-18 06:04:36.696000,1.25,19138.0,3062059
2016-03-18 06:09:37.697000,1.226,19513.0,3062059
2016-03-18 06:14:38.680000,1.233,19402.0,3062059
2016-03-18 06:19:39.702000,1.307,18303.0,3062059
2016-03-18 06:24:40.777000,1.243,19246.0,3062059
2016-03-18 06:29:41.709000,1.223,19560.0,3062059
2016-03-18 06:34:42.805000,1.47,16274.0,3062059
2016-03-18 06:39:43.761000,1.241,19277.0,3062059
2016-03-18 06:44:44.823000,1.242,19261.0,3062059
2016-03-18 06:49:45.719000,1.225,19528.0,3062059
2016-03-18 06:54:46.900000,1.234,19386.0,3062059
2016-03-18 06:59:47.736000,1.251,19123.0,3062059
2016-03-18 07:04:48.724000,1.253,19092.0,3062059
2016-03-18 07:09:49.761000,1.243,19246.0,3062059
2016-03-18 07:14:50.735000,1.363,17551.0,3062059
2016-03-18 07:19:52.002000,1.275,18763.0,3062059
2016-03-18 07:24:52.933000,3.086,7752.0,3062059
2016-03-18 07:30:00.998000,1.871,12786.0,3062059
2016-03-18 07:34:55.325000,1.245,19215.0,3062059
2016-03-18 07:39:56.392000,1.656,14446.0,3062059
2016-03-18 07:44:56.753000,1.302,18374.0,3062059
2016-03-18 07:49:57.737000,1.255,19062.0,3062059
2016-03-18 07:54:59.330000,1.556,15374.0,3062059
2016-03-18 07:59:59.716000,1.444,16567.0,3062059
2016-03-18 08:05:13.167000,1.486,16098.0,3062059
2016-03-18 08:10:10.160000,1.924,12434.0,3062059
2016-03-18 08:15:04.025000,1.943,12312.0,3062059
2016-03-18 08:20:04.411000,1.27,18836.0,3062059
2016-03-18 08:25:06.239000,1.689,14164.0,3062059
2016-03-18 08:30:12.523000,1.266,18896.0,3062059
2016-03-18 08:35:09.024000,1.285,18617.0,3062059
2016-03-18 08:40:07.785000,1.4,17087.0,3062059
2016-03-18 08:45:11.027000,1.254,19077.0,3062059
2016-03-18 08:50:20.381000,1.304,18345.0,3062059
2016-03-18 08:55:13.732000,1.307,18303.0,3062059
2016-03-18 09:00:20.666000,1.363,17551.0,3062059
2016-03-18 09:05:15.471000,7.259,3296.0,3062059
2016-03-18 09:10:15.032000,1.322,18096.0,3062059
2016-03-18 09:15:14.766000,2.406,9943.0,3062059
2016-03-18 09:20:15.756000,1.255,19062.0,3062059
2016-03-18 09:25:17.156000,1.244,19230.0,3062059
2016-03-18 09:30:17.763000,1.287,18588.0,3062059
2016-03-18 09:35:18.896000,2.004,11937.0,3062059
2016-03-18 09:40:19.771000,1.769,13523.0,3062059
2016-03-18 09:45:20.986000,1.283,18646.0,3062059
2016-03-18 09:50:21.751000,1.592,15027.0,3062059
2016-03-18 09:55:22.798000,1.701,14064.0,3062059
2016-03-18 10:00:23.749000,1.233,19402.0,3062059
